slug,version,active_installs,path,download_link
wordpress-importer,0.7,4000000,plugins/zip/89/wordpress-importer/wordpress-importer.zip,https://downloads.wordpress.org/plugin/wordpress-importer.0.7.zip
duplicate-post,4.4,4000000,plugins/zip/60/duplicate-post/duplicate-post.zip,https://downloads.wordpress.org/plugin/duplicate-post.4.4.zip
all-in-one-wp-migration,7.57,4000000,plugins/zip/64/all-in-one-wp-migration/all-in-one-wp-migration.zip,https://downloads.wordpress.org/plugin/all-in-one-wp-migration.7.57.zip
wordfence,7.5.9,4000000,plugins/zip/2/wordfence/wordfence.zip,https://downloads.wordpress.org/plugin/wordfence.7.5.9.zip
all-in-one-seo-pack,4.1.10,3000000,plugins/zip/39/all-in-one-seo-pack/all-in-one-seo-pack.zip,https://downloads.wordpress.org/plugin/all-in-one-seo-pack.4.1.10.zip
litespeed-cache,4.6,3000000,plugins/zip/21/litespeed-cache/litespeed-cache.zip,https://downloads.wordpress.org/plugin/litespeed-cache.4.6.zip
google-analytics-for-wordpress,8.5.0,3000000,plugins/zip/62/google-analytics-for-wordpress/google-analytics-for-wordpress.zip,https://downloads.wordpress.org/plugin/google-analytics-for-wordpress.8.5.0.zip
updraftplus,1.22.11,3000000,plugins/zip/9/updraftplus/updraftplus.zip,https://downloads.wordpress.org/plugin/updraftplus.1.22.11.zip
limit-login-attempts-reloaded,2.24.0,2000000,plugins/zip/52/limit-login-attempts-reloaded/limit-login-attempts-reloaded.zip,https://downloads.wordpress.org/plugin/limit-login-attempts-reloaded.2.24.0.zip
advanced-custom-fields,5.12.2,2000000,plugins/zip/75/advanced-custom-fields/advanced-custom-fields.zip,https://downloads.wordpress.org/plugin/advanced-custom-fields.5.12.2.zip
google-site-kit,1.71.0,2000000,plugins/zip/52/google-site-kit/google-site-kit.zip,https://downloads.wordpress.org/plugin/google-site-kit.1.71.0.zip
wp-super-cache,1.7.7,2000000,plugins/zip/26/wp-super-cache/wp-super-cache.zip,https://downloads.wordpress.org/plugin/wp-super-cache.1.7.7.zip
