name,slug,homepage,version,active_installs,path
"Kirki Customizer Framework",kirki,https://kirki.org,4.0.23,600000,plugins/zip/54/kirki/kirki.zip
"Safe SVG",safe-svg,https://wordpress.org/plugins/safe-svg/,2.0.0,600000,plugins/zip/83/safe-svg/safe-svg.zip
"Code Snippets",code-snippets,https://github.com/sheabunge/code-snippets,2.14.3,600000,plugins/zip/58/code-snippets/code-snippets.zip
"Post Types Order",post-types-order,http://www.nsp-code.com,1.9.8,600000,plugins/zip/83/post-types-order/post-types-order.zip
"GA Google Analytics",ga-google-analytics,https://perishablepress.com/google-analytics-plugin/,20220124,600000,plugins/zip/20/ga-google-analytics/ga-google-analytics.zip
"Join.chat",creame-whatsapp-me,https://join.chat,4.4.2,500000,plugins/zip/31/creame-whatsapp-me/creame-whatsapp-me.zip
"Force Regenerate Thumbnails",force-regenerate-thumbnails,http://pedroelsner.com/2012/08/forcando-a-atualizacao-de-thumbnails-no-wordpress,2.0.6,500000,plugins/zip/48/force-regenerate-thumbnails/force-regenerate-thumbnails.zip
"Contact Form 7 Database Addon &#8211; CFDB7",contact-form-cfdb7,https://ciphercoin.com/,1.2.6.4,500000,plugins/zip/59/contact-form-cfdb7/contact-form-cfdb7.zip
"Page Builder Gutenberg Blocks – CoBlocks",coblocks,,2.22.9,500000,plugins/zip/81/coblocks/coblocks.zip
"MailPoet &#8211; emails and newsletters in WordPress",mailpoet,http://www.mailpoet.com,3.86.0,500000,plugins/zip/24/mailpoet/mailpoet.zip
"AddToAny Share Buttons",add-to-any,https://www.addtoany.com/,1.8.4,500000,plugins/zip/32/add-to-any/add-to-any.zip
"Black Studio TinyMCE Widget",black-studio-tinymce-widget,https://wordpress.org/plugins/black-studio-tinymce-widget/,2.7.0,500000,plugins/zip/89/black-studio-tinymce-widget/black-studio-tinymce-widget.zip
"Premium Addons for Elementor",premium-addons-for-elementor,https://premiumaddons.com,4.9.5,500000,plugins/zip/18/premium-addons-for-elementor/premium-addons-for-elementor.zip
"Category Order and Taxonomy Terms Order",taxonomy-terms-order,http://www.nsp-code.com,1.6,500000,plugins/zip/58/taxonomy-terms-order/taxonomy-terms-order.zip
"MainWP Child &#8211; Securely connects sites to the MainWP WordPress Manager Dashboard",mainwp-child,https://mainwp.com/,4.2,500000,plugins/zip/37/mainwp-child/mainwp-child.zip
"AMP",amp,https://amp-wp.org,2.2.3,500000,plugins/zip/58/amp/amp.zip
"Facebook for WordPress",official-facebook-pixel,https://www.facebook.com/business/help/881403525362441,3.0.6,500000,plugins/zip/37/official-facebook-pixel/official-facebook-pixel.zip
"WooCommerce PayPal Checkout Payment Gateway",woocommerce-gateway-paypal-express-checkout,,2.1.3,500000,plugins/zip/38/woocommerce-gateway-paypal-express-checkout/woocommerce-gateway-paypal-express-checkout.zip
"Enable Media Replace",enable-media-replace,https://wordpress.org/plugins/enable-media-replace/,3.6.3,500000,plugins/zip/16/enable-media-replace/enable-media-replace.zip
"Honeypot for Contact Form 7",contact-form-7-honeypot,http://www.nocean.ca/plugins/honeypot-module-for-contact-form-7-wordpress-plugin/,2.1,400000,plugins/zip/75/contact-form-7-honeypot/contact-form-7-honeypot.zip
"Membership, User Registration, Login Form &amp; User Profile – ProfilePress (Formerly WP User Avatar)",wp-user-avatar,https://profilepress.net,3.2.10,400000,plugins/zip/6/wp-user-avatar/wp-user-avatar.zip
"Intuitive Custom Post Order",intuitive-custom-post-order,http://hijiriworld.com/web/plugins/intuitive-custom-post-order/,3.1.3,400000,plugins/zip/13/intuitive-custom-post-order/intuitive-custom-post-order.zip
"Click to Chat",click-to-chat-for-whatsapp,https://wordpress.org/plugins/click-to-chat-for-whatsapp/,3.9,400000,plugins/zip/6/click-to-chat-for-whatsapp/click-to-chat-for-whatsapp.zip
"Newsletter",newsletter,https://www.thenewsletterplugin.com/plugins/newsletter,7.4.2,400000,plugins/zip/80/newsletter/newsletter.zip
"SiteGround Security",sg-security,https://siteground.com,1.2.6,400000,plugins/zip/16/sg-security/sg-security.zip
"Checkout Field Editor (Checkout Manager) for WooCommerce",woo-checkout-field-editor-pro,https://www.themehigh.com,1.6.0,400000,plugins/zip/77/woo-checkout-field-editor-pro/woo-checkout-field-editor-pro.zip
"Max Mega Menu",megamenu,https://www.megamenu.com,2.9.5,400000,plugins/zip/73/megamenu/megamenu.zip
"Simple Custom CSS and JS",custom-css-js,https://wordpress.org/plugins/custom-css-js/,3.39,400000,plugins/zip/81/custom-css-js/custom-css-js.zip
"WP Google Maps",wp-google-maps,https://www.wpgmaps.com,8.1.22,400000,plugins/zip/27/wp-google-maps/wp-google-maps.zip
"SiteGuard WP Plugin",siteguard,http://www.jp-secure.com/cont/products/siteguard_wp_plugin/index_en.html,1.6.1,400000,plugins/zip/40/siteguard/siteguard.zip
"Unyson",unyson,http://unyson.io/,2.7.26,300000,plugins/zip/18/unyson/unyson.zip
"PHP Compatibility Checker",php-compatibility-checker,https://wpengine.com,1.5.2,300000,plugins/zip/27/php-compatibility-checker/php-compatibility-checker.zip
"Pretty Links &#8211; Link Management, Branding, Tracking &amp; Sharing Plugin",pretty-link,https://prettylinks.com/pl/plugin-uri,3.2.4,300000,plugins/zip/72/pretty-link/pretty-link.zip
"WP Sitemap Page",wp-sitemap-page,http://tonyarchambeau.com/,1.9.1,300000,plugins/zip/58/wp-sitemap-page/wp-sitemap-page.zip
"WooCommerce Cart Abandonment Recovery",woo-cart-abandonment-recovery,https://cartflows.com/,1.2.14,300000,plugins/zip/42/woo-cart-abandonment-recovery/woo-cart-abandonment-recovery.zip
"Photo Gallery by 10Web &#8211; Mobile-Friendly Image Gallery",photo-gallery,https://10web.io/plugins/wordpress-photo-gallery/?utm_source=photo_gallery&utm_medium=free_plugin,1.6.2,300000,plugins/zip/18/photo-gallery/photo-gallery.zip
"Password Protected",password-protected,https://wordpress.org/plugins/password-protected/,2.5,300000,plugins/zip/15/password-protected/password-protected.zip
"Google Ads &amp; Marketing by Kliken",kliken-marketing-for-google,https://woo.kliken.com/,1.0.8,300000,plugins/zip/67/kliken-marketing-for-google/kliken-marketing-for-google.zip
"PixelYourSite &#8211; Your smart PIXEL (TAG) Manager",pixelyoursite,http://www.pixelyoursite.com/,8.2.18,300000,plugins/zip/37/pixelyoursite/pixelyoursite.zip
"Easy Table of Contents",easy-table-of-contents,https://magazine3.company/,2.0.18,300000,plugins/zip/4/easy-table-of-contents/easy-table-of-contents.zip
"YITH WooCommerce Compare",yith-woocommerce-compare,https://yithemes.com/themes/plugins/yith-woocommerce-compare/,2.12.0,300000,plugins/zip/9/yith-woocommerce-compare/yith-woocommerce-compare.zip
"Easy Google Fonts",easy-google-fonts,https://wordpress.org/plugins/easy-google-fonts/,2.0.4,300000,plugins/zip/56/easy-google-fonts/easy-google-fonts.zip
"Health Check &amp; Troubleshooting",health-check,https://wordpress.org/plugins/health-check/,1.4.5,300000,plugins/zip/73/health-check/health-check.zip
