name,pii_found,access_violation,delete_violation,third_party_violation,encryption_violation,violation
followize-extension-cf7,false,false,false,false,false,false
wp-crop-stop,false,false,false,false,false,false
linkedin-perfect-share,false,false,false,false,false,false
wp-dojox-syntax-highlighter,false,false,false,false,false,false
wp-yui-menu,false,false,false,false,false,false
ageverify,false,false,false,false,false,false
easy-code-placement,false,false,false,false,false,false
hover-image,false,false,false,false,false,false
copyrightpro,false,false,false,false,false,false
bp-security-check,false,false,false,false,false,false
dynamic-pricing-quantity-table,false,false,false,false,false,false
sitesassure-wp-malware-scanner,true,false,false,false,true,true
my-reading-library,true,false,false,false,false,false
portable-contacts,false,false,false,false,false,false
lh-no-cache-shortcode,false,false,false,false,false,false
counter-box,true,false,false,false,false,false
webmasternet-seo-post-quality-analyzer-quickly-find-low-quality-posts,false,false,false,false,false,false
sirat-demo-importer,true,false,true,false,false,true
rental,false,false,false,false,false,false
wpdoodlez,false,false,false,false,false,false
thermometer-for-woocommerce-crowdfunding,false,false,false,false,false,false
wp-easy-fibos-pay,true,false,false,false,false,false
subscreasy,true,false,false,false,false,false
bq-musical-notes,false,false,false,false,false,false
skysa-pinterest-pin-it-app,false,false,false,false,false,false
nelio-compare-images,false,false,false,false,false,false
responsive-logo-slideshow,false,false,false,false,false,false
ideaplus,false,false,false,false,false,false
fs-testimonials,false,false,false,false,false,false
tielogremover,false,false,false,false,false,false
local-links,true,false,false,false,false,false
easy-iframe,false,false,false,false,false,false
easylox-for-woocommerce,true,false,false,false,false,false
freshtags,false,false,false,false,false,false
animated-featured-image,false,false,false,false,false,false
wp-cookies-alert,false,false,false,false,false,false
minimal-coming-soon-maintenance-mode,true,false,true,true,true,true
rewind-wp,false,false,false,false,false,false
lockerpress-wordpress-security,true,false,false,false,false,false
wpxmas-snow,false,false,false,false,false,false
plugins-garbage-collector,true,false,false,false,false,false
wc-recently-viewed-products,false,false,false,false,false,false
wc-guatemala,true,false,false,false,false,false
bookmarking-made-easy,false,false,false,false,false,false
wpml-edits,false,false,false,false,false,false
responsive-video-embedder,false,false,false,false,false,false
creative-news-ticker,false,false,false,false,false,false
http-express,false,false,false,false,false,false
convertentity,false,false,false,false,false,false
return-excerpt,false,false,false,false,false,false
responsive-bit-faq-manager,false,false,false,false,false,false
wp-datepicker,false,false,false,false,false,false
crowdfunding-login-form,true,false,false,false,false,false
image-preloading,false,false,false,false,false,false
forrun-shipping-for-woocommerce,true,false,true,false,true,true
login-style,false,false,false,false,false,false
ap-extended-mime-types,false,false,false,false,false,false
whisper-embed,false,false,false,false,false,false
humanstxt,true,false,false,false,false,false
rtl-tester,true,false,true,false,false,true
around-this-date-in-the-past,false,false,false,false,false,false
theme-companion,false,false,false,false,false,false
easy-feedback,true,false,false,false,false,false
amp-social-share,false,false,false,false,false,false
s3-image-optimizer,true,false,false,false,false,false
wp-framework,false,false,false,false,false,false
breadcrumb-tmc,true,false,false,false,false,false
livees-checkout,true,false,false,false,false,false
crafty-social-buttons,true,false,false,false,false,false
smp-twitter-module-oauth,true,false,false,false,false,false
image-effects-generator,false,false,false,false,false,false
bstone-light,false,false,false,false,false,false
newsletter-converter,false,false,false,false,false,false
asian-word-count,true,false,false,false,false,false
widget-for-my-mitsu-estimation-form,false,false,false,false,false,false
slickplan-importer,false,false,false,false,false,false
curiosity-potd,false,false,false,false,false,false
widget-visibility-without-jetpack,true,false,false,false,false,false
smallpay,false,false,false,false,false,false
topdash,false,false,false,false,false,false
wcpas-product-attributes-shortcode,false,false,false,false,false,false
im-porter,true,false,false,false,false,false
mad-mimi-wp,true,false,true,true,true,true
custom-links-in-elementor-image-carousel,false,false,false,false,false,false
ws-redirect-wp,false,false,false,false,false,false
preloader-for-website,false,false,false,false,false,false
travel-pictures-monetization,false,false,false,false,false,false
embed-charts,false,false,false,false,false,false
popularity-stats,false,false,false,false,false,false
social-elementor-lite,true,false,false,false,false,false
woo-chrome-one-tap-login,true,false,false,false,false,false
nextbox,false,false,false,false,false,false
wppt-admin-widget,false,false,false,false,false,false
wp-floating-menu-framework,false,false,false,false,false,false
custom-reviews-and-ratings-for-woocommerce,true,false,false,false,false,false
listsearch,false,false,false,false,false,false
smart-menu-shortcode,false,false,false,false,false,false
web-recipe-clipper,false,false,false,false,false,false
restrict-user-content,true,false,false,false,false,false
couriersx-shipping,true,false,false,false,false,false
wine-club,true,false,true,false,false,true
easy-syntax-highlighter,false,false,false,false,false,false
emissary-for-marketplace-with-dokan,true,false,false,true,true,true
buddypress-xprofile-image-field,true,false,false,false,false,false
webd-woocommerce-product-bulk-edit,false,false,false,false,false,false
woo-custom-related-products-slider-lite-by-au,false,false,false,false,false,false
post-admin-view-count,false,false,false,false,false,false
wp-general-purpose-shortcodes,false,false,false,false,false,false
